Label	BJD_TDB	rel_flux_T1	rel_flux_err_T1	AIR	JD_UTC	rel_flux_T1_dn	rel_flux_err_T1_dn
fl.debias.st.0355.TIC99869022.01.fits	2459258.966194000	0.684658000	0.001077000	1.240000000	0.961730000	0.999851065	0.001572814
fl.debias.st.0357.TIC99869022.01.fits	2459258.967410000	0.683397000	0.001069000	1.240000000	0.962946000	0.998009543	0.001561131
fl.debias.st.0359.TIC99869022.01.fits	2459258.968590000	0.682967000	0.001078000	1.250000000	0.964126000	0.997428767	0.001574349
fl.debias.st.0361.TIC99869022.01.fits	2459258.969806000	0.684756000	0.001080000	1.250000000	0.965341000	1.000041485	0.001577270
fl.debias.st.0363.TIC99869022.01.fits	2459258.971021000	0.682114000	0.001073000	1.250000000	0.966557000	0.996183016	0.001567047
fl.debias.st.0365.TIC99869022.01.fits	2459258.972225000	0.684862000	0.001083000	1.250000000	0.967760000	1.000196291	0.001581651
fl.debias.st.0367.TIC99869022.01.fits	2459258.973486000	0.683922000	0.001081000	1.260000000	0.969022000	0.998870734	0.001578805
fl.debias.st.0369.TIC99869022.01.fits	2459258.974667000	0.682491000	0.001079000	1.260000000	0.970203000	0.996780753	0.001575884
fl.debias.st.0371.TIC99869022.01.fits	2459258.975905000	0.682507000	0.001075000	1.260000000	0.971441000	0.996804121	0.001570042
fl.debias.st.0373.TIC99869022.01.fits	2459258.977120000	0.681884000	0.001080000	1.260000000	0.972656000	0.995894227	0.001577344
fl.debias.st.0375.TIC99869022.01.fits	2459258.978324000	0.684140000	0.001079000	1.270000000	0.973860000	0.999236395	0.001575958
fl.debias.st.0377.TIC99869022.01.fits	2459258.979539000	0.685615000	0.001081000	1.270000000	0.975075000	1.001390740	0.001578879
fl.debias.st.0379.TIC99869022.01.fits	2459258.980743000	0.683768000	0.001077000	1.270000000	0.976279000	0.998693062	0.001573037
