BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 sky airmass xshift yshift sky_entropy
2459332.360349713 2057677.438876501 392388.9532229493 350742.01541932597 133037.2414979919 37875.99101157616 25044.82952021093 20214.29220685865 21536.861127161334 14821.487464429374 23.063277971638115 1.222 -3.9769959102482773 -7.805847185897868 6.654646143213263
2459332.360534832 2006355.6884579198 381368.0735591423 339120.7462370017 130448.42370119228 36387.458331019894 25201.993984799672 19404.00710509323 20679.072110425375 13934.175567908736 23.162134151102524 1.222 -3.419756797920101 -8.924107695532044 6.70652506705871
2459332.3607202 1959666.0936554172 373037.14243774477 332577.3670838089 126680.04932052421 36042.870378943 24223.12670396897 18471.314352345013 20236.93170897021 12647.529859461894 23.914246060087812 1.221 -1.3997411002980087 -6.9565844413855515 6.715688100728816
2459332.360905672 1987193.8520019767 378729.2783562073 339734.9509184374 129193.88346218271 36023.901660788106 24532.15190765282 19062.271818583555 20956.809207455197 13933.56416975733 24.479922087822924 1.221 1.3838963343299397 -6.042374634637596 6.695795117994576
2459332.3610909693 2024092.1808247375 386021.97518210136 345140.59467936395 132128.83060113734 37257.69287517731 25757.110137365657 19423.04220109871 21006.750309231575 14512.594320991004 24.203701342858047 1.221 2.0372646140685475 -7.319402216926655 6.6589037243043
2459332.361276307 2012181.279397347 383996.0463327551 342022.5609537278 131140.13091813907 37014.466845837276 24634.379460115364 19595.919391596864 20635.01250230112 14933.053666583844 24.582656798616156 1.221 2.3214953118534254 -6.637550658528653 6.6565803127465015
2459332.361461535 1936720.0777712343 365224.67091469525 328099.0595322871 126939.91139814853 34441.83129524115 24327.75441659185 18642.974278008012 20174.421992315853 13526.47820649462 25.942918303836343 1.22 1.6475436038998978 -8.250439779353137 6.6862427920510035
2459332.3616467156 1935308.107045148 366392.67403858516 328915.52895757556 125044.37893475553 34970.83694823278 25166.219897263727 18430.449708662287 20750.467674504893 12605.151195329774 27.557822383737648 1.22 0.16153248358268257 -8.659642349483399 6.699152027038554
2459332.3618320273 1719432.077603149 326877.3180430906 293711.40180434566 112468.26366697939 30869.7028006287 21585.90793121868 16970.24762567639 17891.489980929764 13079.158180430735 33.9090659024318 1.22 -2.2151056061049417 -7.701064607544083 6.808103851113337
2459332.3620178984 1544587.610762977 293997.65726711485 260448.169694814 98119.71577849978 28691.833657090145 17861.735449060623 15091.77926153157 16157.18390062076 10674.605765600776 41.741605307543736 1.22 -3.714122865734268 -5.741098893358817 6.82357976814698
2459332.3622032204 731041.4133194291 142975.92918077676 121894.93781776133 46342.50625454675 -1136.026326499239  -1907.6024355517584 -55.29509483859874 249.52125713025453 62.973025801940956 1.22 -3.3943065606099836 -6.1599496814868075 7.16048930132779
2459332.3623890723 1586822.408500923 305799.40185443626 271861.2162211825 103998.74111789136 28081.486782964144 20143.571226293512 15281.882457391795 16684.312371733715 11375.521491209482 38.488944848651926 1.219 -2.41542138496537 -7.146063665246849 6.837354126317388
2459332.3625745587 1740093.6555713466 330925.85285289946 296195.15736430616 113859.16626392165 32589.99501131964 21532.877753658773 17091.673824649566 18355.014477285178 12493.935633769404 38.16522513544403 1.219 -2.281932986224298 -7.566329934038912 6.79160761773082
2459332.362759995 1791881.1243838957 343608.77811155916 304573.6368163193 117298.94982745792 33980.40253809784 22441.321813185088 18115.795048528875 18886.332230815402 13344.966244889045 38.392150807915655 1.219 -0.5054640684689744 -7.495304207468969 6.715159632332981
2459332.362945285 1547335.0722527606 287086.5980869313 257108.55251669456 100333.14517875703 28295.948110353434 11869.47325073427 14230.425907604338 15599.787313304318 10093.853641836991 45.14661750661184 1.219 0.9884900089076822 -7.751224068497798 6.889304489524317
2459332.363130504 648514.9535524636 125806.51051855745 108293.22796963179 42865.99498430017 8908.289778608247 -36.30940496450057 -860.9143113070168 -501.36812309297966 -237.75389591336716 73.15192071389632 1.219 1.3697798179937095 -5.228199009099654 7.1852090159868025
2459332.3638716144 873985.0542012649 178323.08812910365 150994.80064146727 57301.078614543134 13772.473152564198  9870.241797818395 9510.11610301974 4908.479549578158 58.37147719685689 1.218 -4.341345062572962 -6.9606836953159785 7.073732563876037
2459332.3640569877 1630224.1930723703 308485.51886561164 283584.9997105446 107585.9227841901 29692.19189793896 19799.96150912193 16529.5538070162 18510.616600365494 11851.017330913193 34.9541446779108 1.217 -4.426958089674372 -7.211786677813095 6.8375680632833475
2459332.364242274 1905226.6369009675 364555.3354546167 324113.75844711164 124715.66379165801 34608.48702571096 24362.75548803917 18846.154515287373 20760.532036178483 13799.705717628327 28.782915534538077 1.217 -1.1217926160408922 -5.4297413168375 6.77760286029457
