pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
Kepler-1143 c,1,Published Confirmed,210.63059100,0.00145600,-0.00145600,0,,,,,,,,,3.600,0.510,-0.350,0,0.321,0.045,-0.031,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.05,-0.04,0,0.81,0.05,-0.05,0,-0.060,0.150,-0.171,0,4.790,5.710,-2.880,0,13.6790000,0.0240000,-0.0240000
Kepler-1144 b,1,Published Confirmed,17.14647302,0.00009073,-0.00009073,0,,,,,,,,,1.990,0.300,-0.160,0,0.178,0.027,-0.014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.14,-0.07,0,0.98,0.05,-0.06,0,-0.030,0.141,-0.178,0,3.980,3.670,-2.270,0,13.8180000,0.0250000,-0.0250000
Kepler-1145 b,1,Published Confirmed,3.97076766,0.00001110,-0.00001110,0,,,,,,,,,1.400,0.110,-0.110,0,0.125,0.010,-0.010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.05,-0.05,0,0.79,0.05,-0.05,0,-0.130,0.177,-0.193,0,4.790,6.130,-2.990,0,13.9750000,0.0380000,-0.0380000
Kepler-1146 b,1,Published Confirmed,2.35226580,0.00000825,-0.00000825,0,,,,,,,,,1.230,0.100,-0.080,0,0.110,0.009,-0.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70,0.02,-0.04,0,0.74,0.03,-0.04,0,-0.060,0.143,-0.158,0,4.900,5.870,-2.750,0,14.2290000,0.0330000,-0.0330000
Kepler-1147 b,1,Published Confirmed,10.62784997,0.00009118,-0.00009118,0,,,,,,,,,2.610,0.800,-0.510,0,0.233,0.071,-0.045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,0.35,-0.13,0,1.09,0.09,-0.06,0,0.110,0.147,-0.142,0,3.800,1.870,-2.040,0,14.1790000,0.0250000,-0.0250000
Kepler-1148 b,1,Published Confirmed,1.10446351,0.00000129,-0.00000129,0,,,,,,,,,1.690,0.100,-0.090,0,0.151,0.009,-0.008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.04,-0.04,0,0.81,0.04,-0.04,0,-0.020,0.146,-0.160,0,4.570,5.830,-2.700,0,13.8000000,0.0230000,-0.0230000
Kepler-1149 b,1,Published Confirmed,3.73089898,0.00001502,-0.00001502,0,,,,,,,,,1.440,0.260,-0.170,0,0.128,0.023,-0.015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,0.18,-0.10,0,1.02,0.07,-0.07,0,0.020,0.149,-0.168,0,3.980,2.870,-2.240,0,13.7390000,0.0260000,-0.0260000
Kepler-115 b,1,Published Confirmed,2.40367900,0.00001200,-0.00001200,0,0.036000,,,0,,,,,1.090,0.210,-0.210,0,0.097,0.019,-0.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.4300,0.2400,-0.2400,0,1.21,0.23,-0.23,0,,,,,,,,,,,,,12.3150000,0.0210000,-0.0210000
Kepler-115 c,1,Published Confirmed,8.99088900,0.00002100,-0.00002100,0,0.087000,,,0,,,,,2.600,0.500,-0.500,0,0.232,0.045,-0.045,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.1100,0.2100,-0.2100,0,1.21,0.23,-0.23,0,,,,,,,,,,,,,12.3150000,0.0210000,-0.0210000
Kepler-1150 b,1,Published Confirmed,2.78786839,0.00000826,-0.00000826,0,,,,,,,,,1.020,0.060,-0.060,0,0.091,0.005,-0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.03,-0.03,0,0.76,0.03,-0.04,0,0.010,0.147,-0.162,0,4.680,5.870,-2.720,0,12.7890000,0.0210000,-0.0210000
