pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
CoRoT-13 b,1,1,Transit,2010,CoRoT,Published Confirmed,4.03519000,0.00003000,-0.00003000,0,0.051000,0.001300,-0.001300,0,14.034,0.852,-0.852,0,1.252,0.076,-0.076,0,416.99296,30.51168,-30.51168,0,1.31200,0.09600,-0.09600,0,0.82000,0.15000,-0.15000,0,,,,,,,,,1432,39,-39,0,,,,,,,,,,,,,,5945.00,90.00,-90.00,0,1.27,0.08,-0.08,0,1.09,0.09,-0.09,0,0.010,0.070,-0.070,0
CoRoT-13 b,1,1,Transit,2010,CoRoT,Published Confirmed,4.03519000,0.00003000,-0.00003000,0,0.051000,0.003100,-0.003100,0,9.920,0.157,-0.157,0,0.885,0.014,-0.014,0,415.70400,20.97600,-20.97600,0,1.30800,0.06600,-0.06600,0,2.34000,0.23000,-0.23000,0,0.000000,,,0,,,,,1700,,,0,0.3740,0.0540,-0.0540,0,,,,,0.09090,0.00140,-0.00140,0,G0 V,5945.00,90.00,-90.00,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,0.010,0.070,-0.070,0
CoRoT-13 b,1,1,Transit,2010,CoRoT,Published Confirmed,4.03519000,0.00003000,-0.00003000,0,0.051070,0.000300,-0.000310,0,9.920,0.157,-0.157,0,0.885,0.014,-0.014,0,423.03173,23.20159,-23.20159,0,1.33100,0.07300,-0.07300,0,2.38000,0.18000,-0.17000,0,0.067000,,,1,,,,,,,,,,,,,,,,,,,,,,5945.00,90.00,-90.00,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,0.010,0.070,-0.070,0
CoRoT-14 b,1,1,Transit,2010,CoRoT,Published Confirmed,1.51214000,0.00013000,-0.00013000,0,0.026870,0.000780,-0.000780,0,11.411,0.886,-0.886,0,1.018,0.079,-0.079,0,2437.75610,158.91500,-158.91500,0,7.67000,0.50000,-0.50000,0,9.00000,2.00000,-2.00000,0,,,,,,,,,1936,95,-95,0,,,,,,,,,,,,,,6035.00,100.00,-100.00,0,1.19,0.14,-0.14,0,1.12,0.10,-0.10,0,0.050,0.150,-0.150,0
CoRoT-14 b,1,1,Transit,2010,CoRoT,Published Confirmed,1.51214000,0.00013000,-0.00013000,0,0.026910,0.000700,-0.000730,0,12.218,0.785,-0.785,0,1.090,0.070,-0.070,0,2358.29860,149.38010,-149.38010,0,7.42000,0.47000,-0.47000,0,7.10000,1.70000,-1.30000,0,0.036000,,,1,,,,,,,,,,,,,,,,,,,,,,6040.00,100.00,-100.00,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0,0.050,0.150,-0.150,0
CoRoT-14 b,1,1,Transit,2010,CoRoT,Published Confirmed,1.51214000,0.00013000,-0.00013000,0,0.027000,0.002000,-0.002000,0,12.220,0.780,-0.780,0,1.090,0.070,-0.070,0,2415.40000,190.70000,-190.70000,0,7.60000,0.60000,-0.60000,0,7.30000,1.50000,-1.50000,0,0.000000,,,0,,,,,1952,66,-66,0,0.8600,0.0200,-0.0200,0,,,,,0.09250,0.00190,-0.00190,0,F9 V,6035.00,100.00,-100.00,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0,0.050,0.150,-0.150,0
CoRoT-16 b,1,1,Transit,2011,CoRoT,Published Confirmed,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,13.115,1.569,-1.793,0,1.170,0.140,-0.160,0,168.13207,31.14734,-30.51168,0,0.52900,0.09800,-0.09600,0,0.41000,0.22000,-0.14000,0,0.370000,0.110000,-0.120000,0,,,,,,,,,,,,,,,,,,,,,,5650.00,100.00,-100.00,0,1.19,0.14,-0.13,0,1.10,0.08,-0.08,0,0.190,0.060,-0.060,0
CoRoT-16 b,1,1,Transit,2011,CoRoT,Published Confirmed,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,13.110,1.790,-1.570,0,1.170,0.160,-0.140,0,170.03200,27.01400,-26.37900,0,0.53500,0.08500,-0.08300,0,0.44000,0.21000,-0.14000,0,0.330000,0.090000,-0.100000,0,,,,,,,,,0.8250,0.0300,-0.0390,0,1.020000,0.095000,-0.092000,0,0.10100,0.00460,-0.00460,0,G5 V,5650.00,100.00,-100.00,0,1.19,0.14,-0.13,0,1.10,0.08,-0.08,0,0.190,0.060,-0.060,0
CoRoT-17 b,1,1,Transit,2011,CoRoT,Published Confirmed,3.76810000,0.00030000,-0.00030000,0,0.046100,0.000800,-0.000800,0,11.430,0.780,-0.780,0,1.020,0.070,-0.070,0,772.29000,95.34000,-95.34000,0,2.43000,0.30000,-0.30000,0,2.82000,0.38000,-0.38000,0,0.000000,,,0,,,,,1626,31,-31,0,0.1800,0.1600,-0.1600,0,0.440000,,,0,,,,,G2 V,5740.00,80.00,-80.00,0,1.59,0.07,-0.07,0,1.04,0.10,-0.10,0,0.000,0.100,-0.100,0
CoRoT-17 b,1,1,Transit,2011,CoRoT,Published Confirmed,3.76810000,0.00030000,-0.00030000,0,0.048100,0.001500,-0.001600,0,11.433,0.785,-0.785,0,1.020,0.070,-0.070,0,765.97030,85.81410,-82.63580,0,2.41000,0.27000,-0.26000,0,2.81000,0.77000,-0.58000,0,0.081000,,,1,,,,,,,,,,,,,,,,,,,,,,5740.00,80.00,-80.00,0,1.59,0.07,-0.07,0,1.04,0.10,-0.10,0,0.000,0.100,-0.100,0
