pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
47 UMa b,0,Published Confirmed,1083.20000000,1.80000000,-1.80000000,0,2.110000,0.040000,-0.040000,0,826.32000,41.32000,-41.32000,0,,,,,,,,,,,,,2.60000,0.13000,-0.13000,0,Msini,,,,,0.049000,0.014000,-0.014000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9600000,0.2960000,-0.2960000
47 UMa b,0,Published Confirmed,1076.60000000,1.30000000,-1.10000000,0,2.059000,0.031000,-0.032000,0,774.86566,27.01541,-27.01541,0,,,,,,,,,,,,,2.43800,0.08500,-0.08500,0,Msini,,,,,0.016000,0.007600,-0.008000,0,,,,,,,,,,,,,1.14,0.03,-0.03,0,1.01,0.05,-0.05,0,0.026,0.061,-0.061,0,,,,,3.9600000,0.2960000,-0.2960000
47 UMa c,1,Published Confirmed,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,171.62100,20.97600,-23.20100,0,,,,,,,,,,,,,0.54000,0.06600,-0.07300,0,Msini,,,,,0.098000,0.047000,-0.096000,0,,,,,,,,,,,,,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0,,,,,3.9600000,0.2960000,-0.2960000
47 UMa c,0,Published Confirmed,7586.00000000,727.00000000,-727.00000000,0,7.730000,0.580000,-0.580000,0,425.87000,69.92000,-69.92000,0,,,,,,,,,,,,,1.34000,0.22000,-0.22000,0,Msini,,,,,0.005000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9600000,0.2960000,-0.2960000
47 UMa c,0,Published Confirmed,2287.00000000,19.00000000,-16.00000000,0,3.404000,0.054000,-0.056000,0,157.96072,10.17051,-9.53485,0,,,,,,,,,,,,,0.49700,0.03200,-0.03000,0,Msini,,,,,0.179000,0.090000,-0.092000,0,,,,,,,,,,,,,1.14,0.03,-0.03,0,1.01,0.05,-0.05,0,0.026,0.061,-0.061,0,,,,,3.9600000,0.2960000,-0.2960000
47 UMa d,1,Published Confirmed,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,521.22000,92.17000,-152.55000,0,,,,,,,,,,,,,1.64000,0.29000,-0.48000,0,Msini,,,,,0.160000,0.090000,-0.160000,0,,,,,,,,,,,,,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0,,,,,3.9600000,0.2960000,-0.2960000
47 UMa d,0,Published Confirmed,19000.00000000,11000.00000000,-4000.00000000,0,13.800000,4.800000,-2.100000,0,479.92089,69.92225,-54.03083,0,,,,,,,,,,,,,1.51000,0.22000,-0.17000,0,Msini,,,,,0.380000,0.160000,-0.150000,0,,,,,,,,,,,,,1.14,0.03,-0.03,0,1.01,0.05,-0.05,0,0.026,0.061,-0.061,0,,,,,3.9600000,0.2960000,-0.2960000
51 Eri b,1,Published Confirmed,,,,,13.200000,0.200000,-0.200000,0,635.66000,,,0,,,,,,,,,635.66000,,,0,2.00000,,,0,Mass,,,,,,,,,,,,,700,,,0,,,,,,,,,1.75,0.05,-0.05,0,-0.027,0.045,-0.045,0,0.020,0.006,-0.006,0,4.7440000,0.0370000,-0.0370000
51 Peg b,0,Published Confirmed,4.22930000,0.00110000,-0.00110000,0,,,,,149.38010,6.35660,-6.35660,0,,,,,,,,,,,,,0.47000,0.02000,-0.02000,0,Msini,,,,,0.000000,,,0,,,,,,,,,,,,,1.29,,,0,,,,,0.200,,,0,10.000,,,0,4.6550000,0.2960000,-0.2960000
51 Peg b,0,Published Confirmed,4.23079690,0.00000730,-0.00000780,0,0.052350,0.000760,-0.000790,0,147.47238,4.44960,-4.44960,0,,,,,,,,,,,,,0.46400,0.01400,-0.01400,0,Msini,,,,,0.004200,0.004600,-0.003000,0,,,,,,,,,,,,,1.19,0.03,-0.03,0,1.07,0.05,-0.05,0,0.206,0.060,-0.060,0,,,,,4.6550000,0.2960000,-0.2960000
51 Peg b,0,Published Confirmed,4.23100000,,,0,0.052000,,,0,146.20180,19.06980,-3.17830,0,,,,,,,,,146.20180,19.06980,-3.17830,0,0.46000,0.06000,-0.01000,0,Mass,,,,,0.000000,,,0,,,,,,,,,,,,,,,,,1.04,,,0,,,,,,,,,4.6550000,0.2960000,-0.2960000
