pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,sy_dist,sy_disterr1,sy_disterr2,sy_jmag,sy_jmagerr1,sy_jmagerr2
Kepler-1451 b,1,Published Confirmed,35.62223300,0.00020980,-0.00020980,0,,,,,3.350,0.620,-0.660,0,0.299,0.055,-0.059,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5782.00,133.65,-186.17,0,0.99,0.18,-0.10,0,1.00,0.07,-0.07,0,0.010,0.135,-0.164,0,,,,,4.45,0.07,-0.14,0,4.170,3.230,-2.440,0,,,,,1058.7200000,30.4700000,-28.8300000,14.0690000,0.0290000,-0.0290000
Kepler-1452 b,1,Published Confirmed,42.91375100,0.00036890,-0.00036890,0,,,,,2.700,0.390,-0.350,0,0.241,0.035,-0.031,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6101.00,90.21,-112.92,0,2.06,0.28,-0.26,0,1.41,0.11,-0.14,0,0.140,0.081,-0.093,0,,,,,3.95,0.08,-0.07,0,3.240,0.952,-0.620,0,,,,,996.3200000,16.0100000,-15.5180000,11.9830000,0.0220000,-0.0220000
Kepler-1453 b,1,Published Confirmed,47.16116960,0.00041760,-0.00041760,0,,,,,2.670,0.440,-0.210,0,0.238,0.039,-0.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5665.00,68.09,-70.11,0,0.94,0.15,-0.07,0,0.97,0.04,-0.05,0,0.010,0.126,-0.164,0,,,,,4.48,0.05,-0.13,0,4.270,4.710,-2.590,0,,,,,1196.0400000,41.9900000,-39.2900000,14.3870000,0.0320000,-0.0320000
Kepler-1454 b,1,Published Confirmed,47.03194790,0.00066950,-0.00066950,0,,,,,1.880,0.190,-0.170,0,0.168,0.017,-0.015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.00,59.86,-64.34,0,0.86,0.08,-0.05,0,0.90,0.04,-0.05,0,-0.020,0.147,-0.169,0,,,,,4.53,0.04,-0.09,0,4.570,5.850,-2.870,0,,,,,780.5660000,14.9490000,-14.4070000,13.6230000,0.0370000,-0.0370000
Kepler-1455 b,1,Published Confirmed,49.27676400,0.00037370,-0.00037370,0,,,,,2.160,0.150,-0.160,0,0.193,0.013,-0.014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4075.00,61.23,-57.40,0,0.60,0.03,-0.04,0,0.62,0.03,-0.04,0,-0.020,0.134,-0.167,0,,,,,4.68,0.03,-0.02,0,4.170,6.160,-2.400,0,,,,,357.6210000,5.2840000,-5.2840000,13.7720000,0.0240000,-0.0240000
Kepler-1456 b,1,Published Confirmed,18.13738290,0.00018540,-0.00018540,0,,,,,1.140,0.090,-0.150,0,0.102,0.008,-0.013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4231.00,68.40,-85.61,0,0.62,0.04,-0.07,0,0.64,0.05,-0.08,0,-0.090,0.212,-0.336,0,,,,,4.67,0.05,-0.02,0,3.720,5.700,-2.100,0,,,,,370.3120000,4.0890000,-4.0020000,13.4860000,0.0270000,-0.0270000
Kepler-1457 b,1,Published Confirmed,51.11102430,0.00037380,-0.00037380,0,,,,,1.990,0.310,-0.200,0,0.178,0.028,-0.018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5866.00,137.28,-119.79,0,1.01,0.15,-0.10,0,1.01,0.07,-0.07,0,-0.050,0.154,-0.189,0,,,,,4.43,0.07,-0.12,0,3.720,3.080,-2.040,0,,,,,889.8850000,11.7710000,-11.4730000,12.9440000,0.0220000,-0.0220000
Kepler-1458 b,1,Published Confirmed,47.98727640,0.00017760,-0.00017760,0,,,,,2.760,0.420,-0.210,0,0.246,0.037,-0.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5653.00,119.66,-136.13,0,0.94,0.14,-0.07,0,0.96,0.05,-0.05,0,0.020,0.131,-0.161,0,,,,,4.48,0.06,-0.13,0,4.170,4.640,-2.450,0,,,,,544.4500000,4.8900000,-4.8050000,12.9360000,0.0240000,-0.0240000
Kepler-1459 b,1,Published Confirmed,62.86916110,0.00095860,-0.00095860,0,,,,,1.360,0.100,-0.080,0,0.121,0.009,-0.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4828.00,42.43,-40.76,0,0.74,0.02,-0.03,0,0.78,0.03,-0.04,0,0.010,0.150,-0.161,0,,,,,4.61,0.02,-0.04,0,3.890,5.970,-2.200,0,,,,,455.4790000,4.3420000,-4.2610000,13.0050000,0.0230000,-0.0230000
Kepler-146 b,1,Published Confirmed,31.15879900,0.00007900,-0.00007900,0,0.200000,,,0,3.710,0.700,-0.700,0,0.331,0.062,-0.062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2100,0.1900,-0.1900,0,5948.00,100.00,-100.00,0,1.21,0.23,-0.23,0,,,,,,,,,,,,,4.31,0.15,-0.15,0,,,,,,,,,716.7970000,9.3440000,-9.3440000,12.7390000,0.0210000,-0.0210000
Kepler-146 c,1,Published Confirmed,76.73217100,0.00060900,-0.00060900,0,0.364000,,,0,3.130,0.590,-0.590,0,0.279,0.053,-0.053,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1200,0.2200,-0.2200,0,5948.00,100.00,-100.00,0,1.21,0.23,-0.23,0,,,,,,,,,,,,,4.31,0.15,-0.15,0,,,,,,,,,716.7970000,9.3440000,-9.3440000,12.7390000,0.0210000,-0.0210000
